manifest_id,domain,business_name,cohort,industry,country,region,audit_date,technical_score,ai_discovery_score,entity_score,aeo_score,geo_score,total_score,oai_mechanism,perplexity_mechanism,not_measurable_count,notes
3,"blueland.com","Blueland Sustainable Care","eCommerce / D2C","Sustainable Household Products","USA","Northeast","2026-08-31",6,10,13,15,21,65,"WILDCARD_ALLOW","WILDCARD_ALLOW",0,"HTTP 301; Body length 0 bytes; Domain verified MATCH."
8,"topodesigns.com","Topo Designs Outdoor Gear","eCommerce / D2C","Outdoor Apparel & Packs","USA","West","2026-08-31",20,10,19,16,27,92,"WILDCARD_ALLOW","WILDCARD_ALLOW",0,"HTTP 200; Body length 863871 bytes; Domain verified MATCH."
13,"goosecreekcandle.com","Goose Creek Candle Co","eCommerce / D2C","Home Fragrance & Candles","USA","South","2026-08-31",6,10,13,15,21,65,"WILDCARD_ALLOW","WILDCARD_ALLOW",0,"HTTP 301; Body length 0 bytes; Domain verified MATCH."
19,"tactileturn.com","Tactile Turn Machined Pens","eCommerce / D2C","Precision Machined Writing Tools","USA","South","2026-08-31",20,10,17,17,27,91,"WILDCARD_ALLOW","WILDCARD_ALLOW",0,"HTTP 200; Body length 404192 bytes; Domain verified MATCH."
23,"greenwaylaw.com","Greenway Injury Law","Professional & Local Services","Personal Injury Litigation","USA","South","2026-08-31",6,10,13,15,21,65,"WILDCARD_ALLOW","WILDCARD_ALLOW",0,"HTTP 301; Body length 65 bytes; Domain verified MATCH."
28,"denverrealtygroup.com","Denver Realty Group","Professional & Local Services","Commercial & Residential Real Estate","USA","West","2026-08-31",13,10,13,15,21,72,"WILDCARD_ALLOW","WILDCARD_ALLOW",0,"HTTP 200; Body length 114 bytes; Domain verified MATCH."
33,"phillydentist.com","Philadelphia Dental Practice","Professional & Local Services","General & Cosmetic Dentistry","USA","Northeast","2026-08-31",4,10,13,15,21,63,"WILDCARD_ALLOW","WILDCARD_ALLOW",0,"HTTP 500; Body length 0 bytes; Domain verified MATCH."
38,"nashvilleevents.com","Nashville Event Planning","Professional & Local Services","Corporate & Wedding Hospitality","USA","South","2026-08-31",4,10,13,15,21,63,"WILDCARD_ALLOW","WILDCARD_ALLOW",0,"HTTP 500; Body length 0 bytes; Domain verified MATCH."
43,"animalz.co","Animalz Content Strategy","B2B & Corporate Services","B2B SaaS Content Marketing","USA","Northeast","2026-08-31",6,10,13,16,21,66,"WILDCARD_ALLOW","WILDCARD_ALLOW",0,"HTTP 301; Body length 521 bytes; Domain verified MATCH."
48,"barrelny.com","Barrel Design Studio","B2B & Corporate Services","eCommerce UX & Web Development","USA","Northeast","2026-08-31",6,10,13,16,21,66,"WILDCARD_ALLOW","WILDCARD_ALLOW",0,"HTTP 301; Body length 166 bytes; Domain verified MATCH."
53,"summitpr.com","Summit Public Relations","B2B & Corporate Services","Corporate Communications & PR","USA","West","2026-08-31",18,10,15,17,21,81,"WILDCARD_ALLOW","WILDCARD_ALLOW",0,"HTTP 200; Body length 135907 bytes; Domain verified MATCH."
58,"tridentcompliance.com","Trident Corporate Compliance","B2B & Corporate Services","Regulatory Compliance & Risk","USA","South","2026-08-31",6,10,13,15,21,65,"WILDCARD_ALLOW","WILDCARD_ALLOW",0,"HTTP 302; Body length 0 bytes; Domain verified MATCH."
63,"cocokind.com","Cocokind Clean Skincare","Health, Wellness & Lifestyle","Clean Skincare & Botanical Beauty","USA","West","2026-08-31",6,10,13,15,21,65,"WILDCARD_ALLOW","WILDCARD_ALLOW",0,"HTTP 301; Body length 0 bytes; Domain verified MATCH."
68,"sakara.com","Sakara Life Organic Meals","Health, Wellness & Lifestyle","Plant-Based Meal Delivery & Nutrition","USA","Northeast","2026-08-31",7,10,13,15,21,66,"WILDCARD_ALLOW","WILDCARD_ALLOW",0,"HTTP 403; Body length 5525 bytes; Domain verified MATCH."
73,"oseamalibu.com","OSEA Malibu Skincare","Health, Wellness & Lifestyle","Clean Ocean Botanical Beauty","USA","West","2026-08-31",20,10,19,17,27,93,"WILDCARD_ALLOW","WILDCARD_ALLOW",0,"HTTP 200; Body length 626907 bytes; Domain verified MATCH."
78,"purelynatural.ca","Purely Natural Products","Health, Wellness & Lifestyle","Natural Skincare & Wellness","Canada","Canada","2026-08-31",4,10,13,15,21,63,"WILDCARD_ALLOW","WILDCARD_ALLOW",0,"HTTP 500; Body length 0 bytes; Domain verified MATCH."
83,"papermouse.com","The Paper Mouse Stationery","Miscellaneous Independent","Specialty Paper & Fine Gifts","USA","Northeast","2026-08-31",13,10,13,15,21,72,"WILDCARD_ALLOW","WILDCARD_ALLOW",0,"HTTP 200; Body length 114 bytes; Domain verified MATCH."
88,"fishseddy.com","Fishs Eddy Artisan Tableware","Miscellaneous Independent","Iconic Ceramics & Tableware","USA","Northeast","2026-08-31",4,10,13,15,21,63,"WILDCARD_ALLOW","WILDCARD_ALLOW",0,"HTTP 500; Body length 0 bytes; Domain verified MATCH."
93,"mille.com","Mille Women's Boutique","Miscellaneous Independent","Independent Apparel & Accessories","USA","Midwest","2026-08-31",13,10,13,15,21,72,"WILDCARD_ALLOW","WILDCARD_ALLOW",0,"HTTP 200; Body length 114 bytes; Domain verified MATCH."
98,"coalandcanary.com","Coal and Canary Candle Co","Miscellaneous Independent","Artisan Candles & Canadian Gifts","Canada","Canada","2026-08-31",10,10,13,15,21,69,"WILDCARD_ALLOW","WILDCARD_ALLOW",0,"HTTP 301; Body length 0 bytes; Domain verified MATCH."
