manifest_id,domain,business_name,cohort,industry,country,region,audit_date,technical_score,ai_discovery_score,entity_score,aeo_score,geo_score,total_score,oai_mechanism,perplexity_mechanism,not_measurable_count,notes
5,"cotopaxi.com","Cotopaxi Outdoor Gear","eCommerce / D2C","Outdoor Gear & Apparel","USA","West","2026-08-31",6,10,13,15,21,65,"WILDCARD_ALLOW","WILDCARD_ALLOW",0,"HTTP 301; Body length 0 bytes; Domain verified MATCH."
10,"deathwishcoffee.com","Death Wish Coffee Co.","eCommerce / D2C","Specialty Coffee","USA","Northeast","2026-08-31",6,10,13,15,21,65,"WILDCARD_ALLOW","WILDCARD_ALLOW",0,"HTTP 301; Body length 0 bytes; Domain verified MATCH."
15,"duluthpack.com","Duluth Pack Canvas Goods","eCommerce / D2C","Canvas Packs & Luggage","USA","Midwest","2026-08-31",18,10,13,17,27,85,"WILDCARD_ALLOW","WILDCARD_ALLOW",0,"HTTP 200; Body length 591411 bytes; Domain verified MATCH."
20,"peakdesign.com","Peak Design Camera Gear","eCommerce / D2C","Camera Equipment & Travel","USA","West","2026-08-31",4,10,13,15,21,63,"WILDCARD_ALLOW","WILDCARD_ALLOW",0,"HTTP 500; Body length 0 bytes; Domain verified MATCH."
25,"chicagoaccounting.com","Chicago Tax & Accounting","Professional & Local Services","Accounting & CPA Practice","USA","Midwest","2026-08-31",4,10,13,15,21,63,"WILDCARD_ALLOW","WILDCARD_ALLOW",0,"HTTP 500; Body length 0 bytes; Domain verified MATCH."
30,"phoenixlandscaping.com","Phoenix Desert Landscaping","Professional & Local Services","Landscape Architecture","USA","West","2026-08-31",4,10,13,15,21,63,"WILDCARD_ALLOW","WILDCARD_ALLOW",0,"HTTP 500; Body length 0 bytes; Domain verified MATCH."
35,"dallaselectric.com","Dallas Master Electricians","Professional & Local Services","Electrical Contracting","USA","South","2026-08-31",4,10,13,15,21,63,"WILDCARD_ALLOW","WILDCARD_ALLOW",0,"HTTP 500; Body length 0 bytes; Domain verified MATCH."
40,"vancouverbuild.ca","Vancouver Custom Builders","Professional & Local Services","Residential Construction","Canada","Canada","2026-08-31",4,10,13,15,21,63,"WILDCARD_ALLOW","WILDCARD_ALLOW",0,"HTTP 500; Body length 0 bytes; Domain verified MATCH."
45,"bravotours.com","Bravo Corporate Logistics","B2B & Corporate Services","Corporate Travel & Mobility","USA","Midwest","2026-08-31",4,10,13,15,21,63,"WILDCARD_ALLOW","WILDCARD_ALLOW",0,"HTTP 500; Body length 0 bytes; Domain verified MATCH."
50,"bluestoneit.com","Bluestone IT Services","B2B & Corporate Services","Managed IT & Security","USA","Midwest","2026-08-31",4,10,13,15,21,63,"WILDCARD_ALLOW","WILDCARD_ALLOW",0,"HTTP 500; Body length 0 bytes; Domain verified MATCH."
55,"vanguardsecurity.com","Vanguard Cyber Defense","B2B & Corporate Services","Cybersecurity Services","USA","South","2026-08-31",4,10,13,15,21,63,"WILDCARD_ALLOW","WILDCARD_ALLOW",0,"HTTP 500; Body length 0 bytes; Domain verified MATCH."
60,"elevatetech.ca","Elevate Cloud Consulting","B2B & Corporate Services","Cloud Architecture & DevOps","Canada","Canada","2026-08-31",4,10,13,15,21,63,"WILDCARD_ALLOW","WILDCARD_ALLOW",0,"HTTP 500; Body length 0 bytes; Domain verified MATCH."
65,"drinklmnt.com","LMNT Electrolyte Hydration","Health, Wellness & Lifestyle","Clean Electrolyte Hydration","USA","South","2026-08-31",4,10,13,15,21,63,"WILDCARD_ALLOW","WILDCARD_ALLOW",0,"HTTP 500; Body length 0 bytes; Domain verified MATCH."
70,"hyperice.com","Hyperice Muscle Recovery","Health, Wellness & Lifestyle","Percussion Recovery Tech","USA","West","2026-08-31",4,10,13,15,21,63,"WILDCARD_ALLOW","WILDCARD_ALLOW",0,"HTTP 500; Body length 0 bytes; Domain verified MATCH."
75,"truebotanicals.com","True Botanicals Clean Skincare","Health, Wellness & Lifestyle","Organic Ocean Botanical Beauty","USA","West","2026-08-31",4,10,13,15,21,63,"WILDCARD_ALLOW","WILDCARD_ALLOW",0,"HTTP 500; Body length 0 bytes; Domain verified MATCH."
80,"parsleyhealth.com","Parsley Health Care","Health, Wellness & Lifestyle","Holistic Primary Medicine","USA","Northeast","2026-08-31",4,10,13,15,21,63,"WILDCARD_ALLOW","WILDCARD_ALLOW",0,"HTTP 500; Body length 0 bytes; Domain verified MATCH."
85,"fieldnotesbrand.com","Field Notes Memo Books","Miscellaneous Independent","Custom Pocket Memo Books","USA","Midwest","2026-08-31",4,10,13,15,21,63,"WILDCARD_ALLOW","WILDCARD_ALLOW",0,"HTTP 500; Body length 0 bytes; Domain verified MATCH."
90,"luluandgeorgia.com","Lulu & Georgia Decor","Miscellaneous Independent","Modern Interior Furnishings","USA","West","2026-08-31",4,10,13,15,21,63,"WILDCARD_ALLOW","WILDCARD_ALLOW",0,"HTTP 500; Body length 0 bytes; Domain verified MATCH."
98,"peace-collective.com","Peace Collective Goods","Miscellaneous Independent","Canadian Apparel & Lifestyle Goods","Canada","Canada","2026-08-31",4,10,13,15,21,63,"WILDCARD_ALLOW","WILDCARD_ALLOW",0,"HTTP 500; Body length 0 bytes; Domain verified MATCH."
100,"nicheacademy.com","Niche Academy EdTech","Miscellaneous Independent","Specialty Online Learning Platform","USA","West","2026-08-31",4,10,13,15,21,63,"WILDCARD_ALLOW","WILDCARD_ALLOW",0,"HTTP 500; Body length 0 bytes; Domain verified MATCH."
