manifest_id,domain,business_name,cohort,industry,country,region,audit_date,technical_score,ai_discovery_score,entity_score,aeo_score,geo_score,total_score,oai_mechanism,perplexity_mechanism,not_measurable_count,notes
2,"pioneercarry.com","Pioneer Carry Wallets","eCommerce / D2C","Wallets & Technical Gear","USA","Northeast","2026-08-31",18,10,19,17,27,91,"WILDCARD_ALLOW","WILDCARD_ALLOW",0,"HTTP 200; Body length 354970 bytes; Domain verified MATCH."
7,"ridge.com","The Ridge Wallet","eCommerce / D2C","Everyday Carry Accessories","USA","West","2026-08-31",10,10,13,17,21,71,"WILDCARD_ALLOW","WILDCARD_ALLOW",0,"HTTP 403; Body length 4544 bytes; Domain verified MATCH."
12,"goruck.com","GORUCK Tough Equipment","eCommerce / D2C","Fitness & Rucking Gear","USA","South","2026-08-31",6,10,13,15,21,65,"WILDCARD_ALLOW","WILDCARD_ALLOW",0,"HTTP 301; Body length 0 bytes; Domain verified MATCH."
17,"kotn.com","Kotn Apparel","eCommerce / D2C","Ethical Apparel & Home","Canada","Canada","2026-08-31",20,10,17,15,27,89,"WILDCARD_ALLOW","WILDCARD_ALLOW",0,"HTTP 200; Body length 1567965 bytes; Domain verified MATCH."
22,"gothamchimney.com","Gotham Chimney Services","Professional & Local Services","Chimney & Hearth Services","USA","Northeast","2026-08-31",4,10,13,15,21,63,"WILDCARD_ALLOW","WILDCARD_ALLOW",0,"HTTP 500; Body length 0 bytes; Domain verified MATCH."
27,"miamidesignbuild.com","Miami Design Build Architecture","Professional & Local Services","Architecture & Residential Build","USA","South","2026-08-31",11,10,13,15,21,70,"WILDCARD_ALLOW","WILDCARD_ALLOW",0,"HTTP 200; Body length 44 bytes; Domain verified MATCH."
32,"atlantaaccounting.com","Atlanta CPA Advisors","Professional & Local Services","Tax & Business Accounting","USA","South","2026-08-31",13,10,13,15,21,72,"WILDCARD_ALLOW","WILDCARD_ALLOW",0,"HTTP 200; Body length 114 bytes; Domain verified MATCH."
37,"sandiegopets.com","San Diego Veterinary Hospital","Professional & Local Services","Veterinary Medicine","USA","West","2026-08-31",6,10,13,15,21,65,"WILDCARD_ALLOW","WILDCARD_ALLOW",0,"HTTP 302; Body length 0 bytes; Domain verified MATCH."
42,"fostertechnologies.com","Foster Tech Solutions","B2B & Corporate Services","IT & Cloud Infrastructure","USA","Northeast","2026-08-31",6,10,13,15,21,65,"WILDCARD_ALLOW","WILDCARD_ALLOW",0,"HTTP 302; Body length 0 bytes; Domain verified MATCH."
47,"metalab.com","MetaLab Product Agency","B2B & Corporate Services","UI/UX Product Design","Canada","Canada","2026-08-31",4,10,13,16,21,64,"WILDCARD_ALLOW","WILDCARD_ALLOW",0,"HTTP 308; Body length 138 bytes; Domain verified MATCH."
52,"apexstaffing.com","Apex Executive Staffing","B2B & Corporate Services","Executive Recruitment","USA","Midwest","2026-08-31",4,10,13,15,21,63,"WILDCARD_ALLOW","WILDCARD_ALLOW",0,"HTTP 500; Body length 0 bytes; Domain verified MATCH."
57,"nexusprinting.com","Nexus Corporate Printing","B2B & Corporate Services","Commercial Print & Packaging","USA","Midwest","2026-08-31",6,10,13,15,21,65,"WILDCARD_ALLOW","WILDCARD_ALLOW",0,"HTTP 301; Body length 56 bytes; Domain verified MATCH."
62,"ritual.com","Ritual Daily Multivitamins","Health, Wellness & Lifestyle","Traceable Bioactive Vitamins","USA","West","2026-08-31",18,10,17,17,24,86,"WILDCARD_ALLOW","WILDCARD_ALLOW",0,"HTTP 200; Body length 412816 bytes; Domain verified MATCH."
67,"floretflowers.com","Floret Flower Farm","Health, Wellness & Lifestyle","Specialty Botanical & Seeds","USA","West","2026-08-31",6,10,13,16,21,66,"WILDCARD_ALLOW","WILDCARD_ALLOW",0,"HTTP 301; Body length 526 bytes; Domain verified MATCH."
72,"kosas.com","Kosas Clean Makeup","Health, Wellness & Lifestyle","Clean Cosmetics & Beauty","USA","West","2026-08-31",20,10,19,16,27,92,"WILDCARD_ALLOW","WILDCARD_ALLOW",0,"HTTP 200; Body length 374273 bytes; Domain verified MATCH."
77,"goodnessme.ca","Goodness Me! Natural Food Market","Health, Wellness & Lifestyle","Natural Foods & Organic Market","Canada","Canada","2026-08-31",20,10,17,16,27,90,"WILDCARD_ALLOW","WILDCARD_ALLOW",0,"HTTP 200; Body length 1802719 bytes; Domain verified MATCH."
82,"makerhouse.com","Maker House Artisans","Miscellaneous Independent","Artisan Craft & Home Decor","Canada","Canada","2026-08-31",20,10,19,16,27,92,"WILDCARD_ALLOW","WILDCARD_ALLOW",0,"HTTP 200; Body length 983931 bytes; Domain verified MATCH."
87,"blackwing602.com","Blackwing Specialty Stationery","Miscellaneous Independent","Specialty Stationery & Pencils","USA","West","2026-08-31",20,10,19,16,27,92,"WILDCARD_ALLOW","WILDCARD_ALLOW",0,"HTTP 200; Body length 1402034 bytes; Domain verified MATCH."
92,"jaysonhome.com","Jayson Home Vintage Goods","Miscellaneous Independent","Vintage Furnishings & Botanicals","USA","Midwest","2026-08-31",6,10,13,15,21,65,"WILDCARD_ALLOW","WILDCARD_ALLOW",0,"HTTP 301; Body length 0 bytes; Domain verified MATCH."
97,"adafruit.com","Adafruit Electronics","Miscellaneous Independent","DIY Electronics & Hardware","USA","Northeast","2026-08-31",6,10,13,15,21,65,"WILDCARD_ALLOW","WILDCARD_ALLOW",0,"HTTP 301; Body length 0 bytes; Domain verified MATCH."
